
x		y		z		Real x		Real y		hex
_________________________________________________________________________________________
0		0		0		0		0		0xff0000
1		0		0		0		0		0xff0000
2		0		1		0		0		0xff0000
3		0		0		0		0		0xff0000
4		0		5		0		0		0xff0000
5		0		3		0		0		0xff0000
6		0		5		0		0		0xff0000
7		0		6		0		0		0xff0000
8		0		7		0		0		0xff0000
9		0		11		0		0		0xff0000
10		0		6		0		0		0xff0000
11		0		9		0		0		0xff0000
12		0		12		0		0		0xff0000
13		0		17		0		0		0xff0000
14		0		17		0		0		0xff0000
15		0		16		0		0		0xff0000
16		0		16		0		0		0xff0000
17		0		17		0		0		0xff0000
18		0		19		0		0		0xff0000
19		0		19		0		0		0xff0000
20		0		19		0		0		0xff0000
21		0		23		0		0		0xff0000
22		0		21		0		0		0xff0000
23		0		24		0		0		0xff0000
24		0		23		0		0		0xff0000
25		0		27		0		0		0xff0000
26		0		22		0		0		0xff0000
27		0		26		0		0		0xff0000
28		0		24		0		0		0xff0000
29		0		28		0		0		0xff0000
30		0		29		0		0		0xff0000
31		0		30		0		0		0xff0000
32		0		32		0		0		0xff0000
33		0		36		0		0		0xff0000
34		0		32		0		0		0xff0000
35		0		30		0		0		0xff0000
36		0		32		0		0		0xff0000
37		0		33		0		0		0xff0000
38		0		49		0		0		0x802020
39		0		50		0		0		0x802020
40		0		56		0		0		0x802020
41		0		55		0		0		0x802020
42		0		52		0		0		0x802020
43		0		53		0		0		0x802020
44		0		56		0		0		0x802020
45		0		51		0		0		0x802020
46		0		54		0		0		0x802020
47		0		58		0		0		0x802020
48		0		59		0		0		0x802020
49		0		53		0		0		0x802020
50		0		57		0		0		0x802020
51		0		49		0		0		0x802020
52		0		42		0		0		0x802020
53		0		49		0		0		0x802020
54		0		59		0		0		0x802020
55		0		58		0		0		0x802020
56		0		64		0		0		0x802020
57		0		61		0		0		0x802020
58		0		61		0		0		0x802020
59		0		50		0		0		0x802020
60		0		59		0		0		0x802020
61		0		60		0		0		0x802020
62		0		49		0		0		0x802020
63		0		82		0		0		0xffffff
64		0		75		0		0		0xffffff
65		0		83		0		0		0xffffff
66		0		70		0		0		0xffffff
67		0		59		0		0		0x802020
68		0		95		0		0		0xffffff
69		0		91		0		0		0xffffff
70		0		75		0		0		0xffffff
71		0		65		0		0		0x802020
72		0		68		0		0		0x802020
73		0		68		0		0		0x802020
74		0		61		0		0		0x802020
75		0		75		0		0		0xffffff
